"original address",latitude,longitude
"9, Ozala Rd., Onitsha",,
"133, Port Harcourt Rd., Fegge, Onitsha",6.132571,6.779284
"5, Uga Str., Fegge, Onitsha",6.135088,6.770807
"3, Ofili Str., Fegge, Onitsha",6.135585,6.781416
"24, Osuma Str., Onitsha",6.150508,6.808203
"21, MBA Rd., Onitsha",6.150209,6.792416
"12, Okolo Str., Onitsha",6.154469,6.785412
"7. Arondizuogu St. Fegge, Onitsha",,
"10, Anambra Str., Fegge, Onitsha",6.134997,6.772493
"14, Uga Str., Fegge, Onitsha",6.135088,6.770807
"14, Waka Rd., Onitsha",6.151416,6.801945
"18, Ukpor St., Fegge, Onitsha",6.135629,6.780784
"1, Amorka Str., Okpoko, Onitsha",,
"83, Zik's Avenue, Fegge, Onitsha",6.137739,6.776261
"16, Bida Rd., Onitsha",6.140688,6.780174
"47, Modebe Avenue, Onitsha",6.146662,6.783146
"1B, Geoelis Avenue, Owoliwo, Onitsha",,
"1, Umunna Str., Onitsha",6.147707,6.787496
"80, Awka Rd. Onitsha",6.151416,6.801945
"117, P/Harcourt Rd., Fegge Housing Est., Onitsha",,
"100, Upper New Market Rd, Onitsha",6.152486,6.786348
"2, Ugwunabankpa Rd., Onitsha",,
"6A, Onitsha-Asaba Exp. Way, Onitsha",,
"30, Nwaziki Avenue, Awada, Onitsha",6.124134,6.802555
"30, Nwaziki Avenue, Awada, Onitsha",6.124134,6.802555
"26, Egerton Rd., Onitsha",6.157872,6.779988
"48, Anionwu Str., Odakpu, Onitsha",6.148008,6.783055
"96C, Awka Rd., Onitsha",6.151416,6.801945
"12, Venn Rd., North, Onitsha",6.150228,6.778096
"8, Uga Str., Fegge, Onitsha",6.135088,6.770807
"35, Ebonesi Str., Fegge, Onitsha",,
"8, Onitsha Rd., Nnewi",6.141774,6.78194
"34, Igwe Orizu Rd., Nnewi",6.014378,6.929379
"672, Sir Odemegwu Ojukwu Rd., Nnewi",6.010519,6.910345
"101, Onitsha Rd. Nnewi",6.141774,6.78194
"285, Zik Avenue, Awka",6.21892,7.087019
"69, Ziks Avenue, Awka",,
"195, Zik's Avenue, Awka",6.21892,7.087019
"315, Zik's Avenue, Awka",6.21892,7.087019
"41, Limca Rd., Joedon Shopping Mall, Nkpor",6.14624,6.82974
"118, Old Onitsha-Enugu Rd., Nkpor",6.152682,6.843696
"80, Awka Rd., Nkpor Junction",6.14662,6.81253
"Km.3, Nkpor-Umuoji Road, Nkpor",6.14624,6.82974
"3, Ukpor Str., Nkpor-Agu, Idemili North LGA",40.776927,-73.873966
